DepartmentID,Subject
1,ACCT
2,AERO
3,AFAM
4,ANIM
5,APAM
6,ARHS
7,ART
8,ASPA
9,BADM
10,BCOR
11,BIOE
12,BIOL
13,BLAW
14,BSAN
15,CATH
16,CHEM
17,CHIN
18,CIVL
19,CLAR
20,CLST
21,CMSI
22,CMST
23,DANC
24,ECON
25,EDES
26,EDLA
27,EDLP
28,EDSP
29,EDTL
30,EDUR
31,EECE
32,ENGL
33,ENGR
34,ENSI
35,ENTR
36,ENVS
37,EVST
38,FFYS
39,FNCE
40,FNLT
41,FREN
42,FTVA
43,FTVS
44,GRMN
45,HEAS
46,HHSC
47,HIST
48,HNRS
49,HSEG
50,ICBA
51,ICFA
52,ICLA
53,ICSE
54,IFTV
55,INBA
56,IRST
57,ISBA
58,ISOE
59,ITAL
60,JAPN
61,JOUR
62,JWST
63,MATH
64,MBAA
65,MBAC
66,MBAD
67,MBAF
68,MBAH
69,MBAI
70,MBAP
71,MBAW
72,MDGK
73,MDLG
74,MECH
75,MFTH
76,MGMT
77,MRKT
78,MUSC
79,ORNT
80,PHIL
81,PHYS
82,PJST
83,POLS
84,PROD
85,PSYC
86,RECA
87,RHET
88,SCEM
89,SCWR
90,SOCL
91,SPAN
92,SYEG
93,THEA
94,THST
95,URBN
96,WGST
97,YGST